geo_code,geo_label,geo_labelw,label,name,x,y
E05000781,Bredbury and Woodley,,E92000001E05000781,Bredbury and Woodley,392680.643099939,392240.402375899
E05004328,Northleach,,E92000001E05004328,Northleach,411383.214579332,213754.043806769
S13002498,West Garioch,,S92000003S13002498,West Garioch,367816.932108397,825882.753541479
E05005498,Frisby-on-the-Wreake,,E92000001E05005498,Frisby-on-the-Wreake,468870.979474108,318171.611069641
E05005827,St Margarets with St Nicholas,,E92000001E05005827,St Margarets with St Nicholas,562001.25695744,319990.235700385
E05007333,Horley East,,E92000001E05007333,Horley East,529710.59368758,143409.723173339
E05001937,Bathavon South,,E92000001E05001937,Bathavon South,375284.078384757,158681.536070673
E05006837,Islemoor,,E92000001E05006837,Islemoor,335486.291922379,121063.193680416
E05001233,Whoberley,,E92000001E05001233,Whoberley,430816.755485981,279273.346966452
E05002247,Tilbury St Chads,,E92000001E05002247,Tilbury St Chads,564592.105572943,177202.194301323
E05002706,Coleridge,,E92000001E05002706,Coleridge,547137.349032616,256918.024524762
E05000475,Beckton,,E92000001E05000475,Beckton,543892.963580837,181657.533177318
E05008826,Boothville,,E92000001E05008826,Boothville,478226.181254187,264689.947981991
E05000282,West Green,,E92000001E05000282,West Green,532355.280091707,189882.507390287
E05003540,Chulmleigh,,E92000001E05003540,Chulmleigh,270224.497428882,115866.560022273
E05001861,Kington Town,,E92000001E05001861,Kington Town,328449.532023269,256311.866260011
E05006508,Ruddington,,E92000001E05006508,Ruddington,457091.6577069,332724.84459791
E05004636,Charlton,,E92000001E05004636,Charlton,434779.674209693,147473.864308066
E05000884,Whiston South,,E92000001E05000884,Whiston South,348224.867641929,389261.641546354
E05006318,Cayton,,E92000001E05006318,Cayton,507065.581236154,482623.932836594
W05000612,Llangynwyd,Llangynwyd,W92000004W05000612,Llangynwyd,286327.620861455,188188.979151535
E05005271,Brookfield,,E92000001E05005271,Brookfield,356489.959816809,431975.703629927
95PP07,Derrygonnelly,,N9200000295PP07   ,Derrygonnelly,22893.7914728674,517718.706466806
E05000664,Little Lever and Darcy Lever,,E92000001E05000664,Little Lever and Darcy Lever,374970.697429842,407469.023184336
95WW20,Mallusk,,N9200000295WW20   ,Mallusk,141484.782545412,539396.494768854
E05000958,Clatterbridge,,E92000001E05000958,Clatterbridge,331672.261313935,381185.390422328
E05008750,Weston Coyney,,E92000001E05008750,Weston Coyney,393292.416205633,343619.797556218
E05006407,Beeston West,,E92000001E05006407,Beeston West,452446.371979641,336804.812400585
W05000182,Bagillt East,Bagillt - Dwyrain,W92000004W05000182,Bagillt East,323452.560461832,375156.077269028
E05001112,West Gosforth,,E92000001E05001112,West Gosforth,423624.849877764,567479.618146381
E05004736,Puckeridge,,E92000001E05004736,Puckeridge,538035.602476922,223302.31138496
E05005349,Middleforth,,E92000001E05005349,Middleforth,353438.611746851,427634.858822369
E05003982,St Stephens,,E92000001E05003982,St Stephens,573380.781044227,108671.935412464
E05000641,Marylebone High Street,,E92000001E05000641,Marylebone High Street,528429.26745198,181699.908196974
E05007884,Claines,,E92000001E05007884,Claines,384962.322339815,257903.947475548
E05005244,Slyne-with-Hest,,E92000001E05005244,Slyne-with-Hest,346290.929380479,466879.691899881
95XX15,Dufferin,,N9200000295XX15   ,Dufferin,161178.217849557,534660.873245289
E05001342,Bingley,,E92000001E05001342,Bingley,412000.566961511,441232.258784296
E05002800,Fowlmere and Foxton,,E92000001E05002800,Fowlmere and Foxton,541775.539896288,246194.72753996
E05005524,Moira,,E92000001E05005524,Moira,431829.086272766,316848.335168728
E05000312,Harold Wood,,E92000001E05000312,Harold Wood,555719.946866059,190551.401414252
E05000627,Wandsworth Common,,E92000001E05000627,Wandsworth Common,526857.017964086,173587.976938735
E05004674,Upper Meon Valley,,E92000001E05004674,Upper Meon Valley,461861.506756112,122620.92734133
E05008365,Holt and Staverton,,E92000001E05008365,Holt and Staverton,383339.493230184,163394.517076843
E05000450,Perry Vale,,E92000001E05000450,Perry Vale,536026.08195207,172634.698205933
E05007000,Kinver,,E92000001E05007000,Kinver,385355.2830897,284599.873950598
E05005870,The Raynhams,,E92000001E05005870,The Raynhams,587832.752075403,327676.264938512
95DD09,Craigywarren,,N9200000295DD09   ,Craigywarren,123925.146336211,567482.52127135
E05000587,Spitalfields and Banglatown,,E92000001E05000587,Spitalfields and Banglatown,533892.136660567,181772.807128207
E05003202,St Bees,,E92000001E05003202,St Bees,297181.367127651,512341.744993599
W05000511,Trimsaran,Trimsaran,W92000004W05000511,Trimsaran,244593.207697869,205033.470384883
E05000856,Orrell,,E92000001E05000856,Orrell,353123.047765086,403731.20743315
E05005686,St Anne's,,E92000001E05005686,St Anne's,492282.106110408,335265.884113069
